IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
14.44.61.169,38343,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,717,1.29
211.250.134.12,38245,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,712,1.28
183.97.113.86,39887,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,774,1.28
220.81.178.30,38226,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,747,1.28
59.24.92.220,38574,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,835,1.26
154.17.6.196,51297,TRUE,LAX,US,North America,Los Angeles,906,DMIT,545,1.25
221.153.24.211,39287,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,756,1.24
175.194.221.21,39257,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,753,1.24
154.17.3.181,51053,TRUE,LAX,US,North America,Los Angeles,906,DMIT,533,1.22
121.135.219.251,39291,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,743,1.21
221.158.56.248,39105,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,793,1.20
210.217.15.42,38248,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,715,1.18
121.190.112.101,39582,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,811,1.16
175.200.121.85,39165,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,676,1.15
121.151.80.184,38917,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,769,1.14
218.155.89.10,38703,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,779,1.14
175.193.62.86,39059,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,799,1.13
221.158.190.76,38081,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,708,1.11
154.17.25.205,49997,TRUE,LAX,US,North America,Los Angeles,906,DMIT,526,1.11
221.165.152.104,39645,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,754,1.09
14.33.7.164,39004,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,703,1.08
118.34.200.196,39324,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,749,1.07
175.194.221.21,39933,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,726,1.07
222.96.230.108,38684,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,684,1.04
154.17.29.80,50235,TRUE,LAX,US,North America,Los Angeles,906,DMIT,498,1.04
175.212.100.88,39336,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,709,1.04
112.165.102.109,39601,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,768,1.00
183.108.107.110,39757,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,747,0.99
59.4.73.205,39752,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,747,0.99
175.193.62.86,39334,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,748,0.98
61.78.98.144,37984,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,696,0.98
221.158.190.76,39621,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,747,0.98
221.144.162.10,39442,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,784,0.96
59.11.149.84,38725,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,780,0.96
14.33.7.164,38132,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,730,0.95
59.17.109.133,38406,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,753,0.91
183.109.197.236,39480,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,757,0.91
175.193.62.86,38682,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,802,0.90
165.154.182.118,56332,TRUE,LAX,US,North America,Los Angeles,135377,UCLOUD INFORMATION TECHNOLOGY HK LIMITED,731,0.90
220.73.70.34,39385,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,715,0.90
59.24.92.220,38367,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,761,0.90
59.13.243.183,38269,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,764,0.89
183.97.43.222,38435,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,743,0.89
154.17.17.194,59327,TRUE,LAX,US,North America,Los Angeles,906,DMIT,856,0.87
175.194.221.21,37968,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,748,0.87
221.158.190.76,39753,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,742,0.86
14.33.7.164,38988,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,736,0.85
210.204.129.145,38854,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,831,0.84
59.5.135.48,39266,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,713,0.84
154.7.180.101,44444,TRUE,LAX,US,North America,Los Angeles,979,NETLAB-SDN,599,0.83
74.48.98.173,46862,TRUE,LAX,US,North America,Los Angeles,35916,MULTA-ASN1,707,0.83
154.12.53.209,55204,TRUE,LAX,US,North America,Los Angeles,979,NETLAB-SDN,604,0.82
220.95.88.177,37968,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,664,0.82
121.146.141.13,39386,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,700,0.81
14.53.189.169,38862,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,766,0.80
195.123.241.122,50007,TRUE,LAX,US,North America,Los Angeles,204957,Green Floid LLC,794,0.80
221.164.211.245,38484,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,729,0.80
211.46.225.120,39980,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,707,0.79
221.164.211.245,39996,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,704,0.79
60.250.202.116,39187,TRUE,HKG,HK,Asia Pacific,Hong Kong,3462,Data Communication Business Group,438,0.78
59.17.109.133,38741,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,819,0.78
218.146.41.38,39449,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,698,0.77
221.144.162.10,39889,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,774,0.75
211.230.73.232,38929,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,767,0.75
115.23.174.147,38247,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,697,0.73
121.168.48.63,38364,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,748,0.72
211.248.166.42,38939,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,800,0.72
125.227.70.180,38847,TRUE,HKG,HK,Asia Pacific,Hong Kong,3462,Data Communication Business Group,460,0.69
121.137.214.206,38745,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,739,0.68
119.199.206.228,38479,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,773,0.68
121.188.163.95,38677,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,797,0.63
175.215.113.12,38775,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,723,0.62
74.48.17.112,44333,TRUE,LAX,US,North America,Los Angeles,35916,MULTA-ASN1,672,0.59
59.24.92.220,39337,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,818,0.58
59.29.125.71,38000,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,756,0.57
125.227.70.180,37972,TRUE,KIX,JP,Asia Pacific,Osaka,3462,Data Communication Business Group,389,0.56
119.199.91.182,39895,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,821,0.55
221.165.97.163,38808,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,769,0.52
185.238.250.167,40444,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,837,0.51
14.54.124.53,39787,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,767,0.51
211.107.62.13,39447,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,763,0.50
67.230.167.140,39246,TRUE,LAX,US,North America,Los Angeles,25820,IT7NET,637,0.49
60.250.202.116,37968,TRUE,HKG,HK,Asia Pacific,Hong Kong,3462,Data Communication Business Group,433,0.47
59.11.89.252,38635,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,778,0.45
211.75.233.120,39498,TRUE,KIX,JP,Asia Pacific,Osaka,3462,Data Communication Business Group,493,0.44
59.24.92.220,39187,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,734,0.40
14.53.32.49,38629,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,830,0.39
193.9.44.165,57826,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,873,0.38
172.93.44.100,56322,TRUE,LAX,US,North America,Los Angeles,25820,IT7NET,700,0.32
221.158.190.76,38587,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,838,0.32
154.12.56.244,60001,TRUE,LAX,US,North America,Los Angeles,35251,Zhihua Lu,976,0.31
119.193.241.25,38851,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,834,0.30
2.59.151.192,38135,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,868,0.23
60.248.94.179,38432,TRUE,SIN,SG,Asia Pacific,Singapore,3462,Data Communication Business Group,543,0.23
221.165.97.163,39644,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,797,0.20
35.235.104.67,44333,TRUE,LAX,US,North America,Los Angeles,396982,GOOGLE-CLOUD-PLATFORM,803,0.19
185.238.250.136,58780,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,869,0.19
121.145.193.71,39239,TRUE,LAX,US,North America,Los Angeles,4766,Korea Telecom,685,0.17
216.24.191.69,42247,TRUE,LAX,US,North America,Los Angeles,21887,FIBER-LOGIC,747,0.12
209.146.112.185,59384,TRUE,LAX,US,North America,Los Angeles,400464,VMISS,690,0.09
154.9.206.198,54328,TRUE,LAX,US,North America,Los Angeles,55799,IPTELECOM ASIA,644,0.07
216.24.176.119,54999,TRUE,LAX,US,North America,Los Angeles,21887,FIBER-LOGIC,523,0.04
