IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
31.192.238.71,8443,TRUE,SIN,SG,Asia Pacific,Singapore,44493,Chelyabinsk-Signal LLC,378,1.14
47.236.144.196,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",397,1.14
8.219.100.155,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",303,1.14
27.0.234.9,17103,TRUE,SIN,SG,Asia Pacific,Singapore,149020,WebHorizon Internet Services,323,1.13
154.197.121.125,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,651,1.13
158.178.242.5,8443,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,431,1.13
154.197.121.129,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,628,1.10
8.222.168.234,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",315,1.10
47.236.5.223,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",357,1.09
47.236.145.85,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",495,1.09
213.35.118.141,53784,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,808,1.08
8.222.160.61,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",315,1.08
118.39.217.219,28443,TRUE,HKG,HK,Asia Pacific,Hong Kong,4766,Korea Telecom,845,1.08
154.197.121.220,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,665,1.07
138.2.85.8,22604,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,345,1.07
8.222.155.242,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",325,1.05
47.236.30.65,26978,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",415,1.04
154.197.121.16,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,642,1.03
158.178.228.8,10010,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,808,1.03
8.222.180.86,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",336,1.02
8.219.61.211,34237,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",340,1.01
8.222.249.190,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",337,1.01
168.138.191.71,14978,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,292,1.01
47.91.2.165,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",496,1.00
103.191.242.218,9099,TRUE,SIN,SG,Asia Pacific,Singapore,4816,China Telecom Group,474,1.00
8.209.248.161,8443,TRUE,KIX,JP,Asia Pacific,Osaka,45102,"Alibaba US Technology Co., Ltd.",229,0.98
152.70.106.185,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,500,0.98
154.197.121.222,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,683,0.97
154.197.121.187,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,649,0.97
8.222.229.22,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",336,0.97
18.143.171.10,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,287,0.94
47.236.116.208,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",501,0.94
8.219.147.58,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",348,0.93
158.178.246.169,8443,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,333,0.92
154.197.121.58,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,629,0.92
47.236.104.11,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",364,0.91
194.36.179.17,8443,TRUE,SIN,SG,Asia Pacific,Singapore,200740,First Server Limited,326,0.90
154.197.121.70,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,637,0.89
158.178.242.5,8443,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,768,0.89
8.219.65.170,34237,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",460,0.89
47.236.144.48,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",367,0.88
47.236.119.253,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",518,0.88
8.222.164.44,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",335,0.87
47.236.114.167,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",391,0.87
8.222.238.141,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",336,0.86
47.236.94.109,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",505,0.84
168.138.217.146,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,536,0.84
119.199.206.228,12509,TRUE,SIN,SG,Asia Pacific,Singapore,4766,Korea Telecom,969,0.84
47.236.23.243,41101,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",469,0.83
158.179.186.251,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,540,0.83
8.219.174.142,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",353,0.80
154.197.121.158,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,661,0.80
51.79.224.55,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,16276,OVH SAS,515,0.79
158.178.240.113,34237,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,815,0.79
8.219.222.98,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",353,0.79
52.77.221.3,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,317,0.78
168.138.165.1,45680,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,810,0.76
8.222.212.116,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",337,0.75
47.236.116.26,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",366,0.75
47.236.121.7,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",478,0.74
154.197.121.173,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,651,0.74
47.236.15.73,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",522,0.74
158.179.183.2,8443,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,577,0.73
59.11.238.228,12230,TRUE,SIN,SG,Asia Pacific,Singapore,4766,Korea Telecom,900,0.73
47.236.4.129,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",419,0.73
213.35.121.247,28983,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,800,0.72
129.150.33.88,52275,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,845,0.72
8.222.171.165,30015,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",346,0.72
47.245.59.133,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",566,0.69
68.183.236.78,8443,TRUE,SIN,SG,Asia Pacific,Singapore,14061,DIGITALOCEAN-ASN,828,0.66
163.47.9.27,8443,TRUE,SIN,SG,Asia Pacific,Singapore,14061,DIGITALOCEAN-ASN,354,0.65
47.236.150.109,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",407,0.63
158.179.188.159,8443,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,556,0.62
158.179.186.138,8443,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,557,0.61
206.189.82.177,45304,TRUE,SIN,SG,Asia Pacific,Singapore,14061,DIGITALOCEAN-ASN,908,0.60
211.224.253.170,22000,TRUE,SIN,SG,Asia Pacific,Singapore,4766,Korea Telecom,964,0.60
138.2.69.236,45182,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,354,0.59
154.197.121.79,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,664,0.58
213.35.98.197,8443,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,296,0.56
51.79.246.123,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16276,OVH SAS,310,0.56
206.238.76.35,8889,TRUE,SIN,SG,Asia Pacific,Singapore,399077,TERAEXCH,317,0.56
8.219.151.193,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",419,0.54
168.138.170.211,53702,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,782,0.54
213.35.121.247,45679,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,319,0.51
216.221.213.171,8443,TRUE,LHR,GB,Europe,London,26585,SIAC-SFTI,944,0.49
213.35.121.162,18868,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,730,0.48
154.197.121.86,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,681,0.47
216.221.213.185,8443,TRUE,LHR,GB,Europe,London,26585,SIAC-SFTI,938,0.46
211.248.90.208,34567,TRUE,SIN,SG,Asia Pacific,Singapore,4766,Korea Telecom,965,0.46
64.176.84.45,22222,TRUE,SIN,SG,Asia Pacific,Singapore,20473,AS-CHOOPA,887,0.45
154.3.37.27,9004,TRUE,SIN,SG,Asia Pacific,Singapore,906,DMIT,320,0.43
14.39.251.200,12442,TRUE,SIN,SG,Asia Pacific,Singapore,4766,Korea Telecom,949,0.43
216.221.213.179,8443,TRUE,LHR,GB,Europe,London,26585,SIAC-SFTI,935,0.42
168.138.187.20,29898,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,753,0.42
138.2.79.21,41002,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,829,0.42
129.150.36.57,29499,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,751,0.42
138.2.69.236,11216,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,452,0.41
213.35.102.129,45682,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,822,0.40
216.221.213.177,8443,TRUE,LHR,GB,Europe,London,26585,SIAC-SFTI,951,0.39
103.107.8.251,9004,TRUE,SIN,SG,Asia Pacific,Singapore,976,CORENET,779,0.39
216.221.213.172,8443,TRUE,LHR,GB,Europe,London,26585,SIAC-SFTI,932,0.39
210.222.194.33,12517,TRUE,SIN,SG,Asia Pacific,Singapore,4766,Korea Telecom,988,0.39
194.169.55.101,19886,TRUE,SIN,SG,Asia Pacific,Singapore,9312,xTom,720,0.39
96.9.213.62,10443,TRUE,SIN,SG,Asia Pacific,Singapore,212238,Datacamp Limited,754,0.38
47.91.15.247,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",758,0.38
129.150.58.86,57621,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,830,0.38
14.35.59.67,12305,TRUE,HKG,HK,Asia Pacific,Hong Kong,4766,Korea Telecom,833,0.37
158.178.240.232,10257,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,303,0.37
8.219.214.196,15266,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",338,0.36
