IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
58.151.95.245,39598,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,454,4.38
38.47.99.230,51443,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,279,4.37
222.96.68.2,39242,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,380,4.30
121.182.66.134,39732,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,370,4.28
220.118.210.239,39766,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,437,4.25
61.76.54.186,39480,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,405,4.22
58.230.12.228,39278,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,328,4.18
58.151.95.245,39400,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,463,4.17
115.91.95.202,39592,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,448,4.11
119.201.234.228,39958,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,405,4.11
118.40.129.200,39657,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,439,4.07
121.162.197.175,39904,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,473,3.99
220.85.149.130,39179,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,441,3.96
221.161.19.212,39124,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,390,3.93
220.81.178.30,39991,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,390,3.92
45.66.129.126,46634,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,307,3.89
221.161.19.212,39314,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,391,3.85
211.106.175.18,39145,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,471,3.79
119.201.234.228,39394,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,397,3.78
220.119.139.132,39115,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,383,3.77
121.179.68.136,39173,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,437,3.76
121.162.197.175,39201,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,431,3.74
221.154.46.162,39370,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,435,3.74
125.139.225.100,39556,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,406,3.73
61.73.152.230,39158,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,446,3.69
59.22.44.19,39703,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,388,3.60
59.17.109.133,39677,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,416,3.58
147.78.247.110,50011,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,352,3.56
8.217.121.219,49025,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",650,3.53
8.210.130.11,49025,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",625,3.53
59.22.44.19,39310,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,407,3.52
220.83.127.148,39101,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,400,3.48
112.219.136.229,39825,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,513,3.48
221.159.203.188,39437,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,416,3.46
141.164.56.255,40015,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,451,3.42
211.250.155.181,39449,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,382,3.41
61.39.134.249,39838,TRUE,HKG,HK,Asia Pacific,Hong Kong,3786,LG DACOM Corporation,486,3.33
211.250.13.224,39696,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,463,3.33
211.42.210.76,39045,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,406,3.27
59.5.68.223,39305,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,438,3.26
211.224.253.170,39572,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,431,3.21
182.210.222.7,39244,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,425,3.18
59.17.109.133,39349,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,445,3.09
121.163.220.247,39966,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,398,3.08
220.70.148.228,39696,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,450,3.08
121.183.17.222,39050,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,383,3.02
112.220.156.234,45013,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,443,3.01
121.175.54.166,39942,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,381,2.90
211.46.225.120,39969,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,417,2.89
59.17.109.133,39180,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,482,2.86
220.119.139.132,39919,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,381,2.84
220.134.160.237,39757,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,472,2.81
45.14.106.145,50987,TRUE,KIX,JP,Asia Pacific,Osaka,4785,xTom,263,2.79
175.200.121.85,39946,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,665,2.73
222.238.154.82,39852,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,349,2.66
211.46.225.120,39860,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,386,2.65
121.188.163.95,39401,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,428,2.64
221.158.190.76,39442,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,408,2.56
118.37.148.82,39195,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,721,2.45
14.37.253.56,39282,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,718,2.40
59.31.73.84,39042,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,716,2.33
175.193.62.86,39852,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,711,2.32
222.119.24.197,39490,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,323,2.23
59.15.148.150,39912,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,737,2.22
118.37.148.82,39627,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,674,2.20
211.199.177.198,39578,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,702,2.12
14.63.122.174,39283,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,692,2.11
121.155.35.114,39099,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,412,2.02
